Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG32241,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6627,5.7 ± 0.2,5.6 ± 0.6,4.0 ± 0.0,3.8 ± 0.2,15 ± 1.2,18 ± 5.0,4.8 ± 0.7,4.2 ± 1.3,3.3 ± 0.4,2.8 ± 0.3
CG12512,6.0 ± 1.0,4.3 ± 0.1,19 ± 2.9,20 ± 0.9,29 ± 0.1,22 ± 3.0,100 ± 9.0,108 ± 11,32 ± 4.0,40 ± 4.4
CG6128,3.0 ± 0.3,3.3 ± 0.4,8.6 ± 1.6,9.2 ± 0.8,4.8 ± 0.9,4.5 ± 0.7,0.5 ± 0.5,0.6 ± 0.2,2.8 ± 0.4,8.8 ± 0.9
CG13607,4.8 ± 2.8,1.5 ± 1.2,140 ± 44,87 ± 13,92 ± 7.4,36 ± 15,2.0 ± 1.0,1.4 ± 0.1,4.2 ± 1.2,9.8 ± 0.5
CG7099,2.0 ± 0.2,2.1 ± 0.1,1.2 ± 0.1,1.0 ± 0.1,1.3 ± 0.1,1.5 ± 0.1,1.2 ± 0.3,1.3 ± 0.3,1.1 ± 0.2,1.4 ± 0.1
CG2595,0.3 ± 0.1,0.2 ± 0.0,0.0 ± 0.0,0.6 ± 0.5,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.1 ± 0.1,0.1 ± 0.0
CG11298,1.0 ± 0.4,1.1 ± 0.3,0.0 ± 0.0,1.1 ± 0.7,0.5 ± 0.1,0.5 ± 0.3,0.0 ± 0.0,1.2 ± 2.0,0.1 ± 0.0,0.4 ± 0.1
CG3809,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.9 ± 1.6,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.2,1.6 ± 2.2,0.0 ± 0.0,0.4 ± 0.2
CG31043,3.2 ± 0.3,3.4 ± 0.0,4.4 ± 1.1,3.0 ± 0.2,3.7 ± 0.1,4.1 ± 0.7,7.4 ± 0.6,6.7 ± 1.0,1.6 ± 0.5,1.9 ± 0.3
CG13073,0.4 ± 0.1,0.3 ± 0.2,0.2 ± 0.0,0.1 ± 0.0,0.7 ± 0.2,0.7 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG42450,23 ± 4.1,26 ± 0.7,0.8 ± 0.5,1.1 ± 0.6,6.6 ± 0.3,7.1 ± 1.9,0.2 ± 0.1,0.1 ± 0.0,0.3 ± 0.0,0.7 ± 0.0
CG14075,24 ± 5.7,26 ± 8.3,0.9 ± 0.6,3.2 ± 2.8,2.0 ± 0.5,1.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.4 ± 0.3,3.9 ± 2.6
CG17283,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG1475,218 ± 47,178 ± 19,1080 ± 185,591 ± 104,1275 ± 52,620 ± 98,837 ± 69,607 ± 100,666 ± 71,768 ± 93
CG32592,19 ± 2.1,21 ± 0.4,0.8 ± 0.4,1.1 ± 0.4,7.4 ± 0.7,11 ± 2.8,3.0 ± 0.4,3.8 ± 0.3,0.4 ± 0.0,0.8 ± 0.2
CG42662,0.6 ± 0.6,0.2 ± 0.2,6.0 ± 1.9,9.5 ± 0.9,5.1 ± 1.1,10 ± 2.0,0.5 ± 0.8,1.1 ± 1.6,0.3 ± 0.3,1.6 ± 0.8
CG14032,4.1 ± 0.3,3.1 ± 0.4,21 ± 8.2,50 ± 0.4,35 ± 0.5,30 ± 6.2,1.2 ± 0.6,2.3 ± 0.6,3.3 ± 0.2,7.4 ± 0.1
CG8297,11 ± 0.4,11 ± 0.6,11 ± 2.2,11 ± 0.3,13 ± 0.2,15 ± 0.3,9.3 ± 0.8,8.8 ± 0.9,8.3 ± 0.1,11 ± 0.9
CG34378,31 ± 6.2,34 ± 2.2,1.1 ± 0.4,1.5 ± 0.4,5.1 ± 0.5,8.1 ± 0.1,0.6 ± 0.1,0.5 ± 0.1,0.6 ± 0.1,1.2 ± 0.0
CG3540,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.3 ± 0.2,0.0 ± 0.0,0.1 ± 0.0,0.3 ± 0.3,1.6 ± 1.3,0.0 ± 0.0,0.0 ± 0.1
CG18455,2.4 ± 0.3,2.8 ± 0.0,0.0 ± 0.0,0.3 ± 0.4,7.0 ± 0.8,8.4 ± 0.8,0.0 ± 0.0,0.2 ± 0.3,0.0 ± 0.0,0.1 ± 0.1
CG8234,1.3 ± 0.1,1.6 ± 0.1,1.8 ± 1.2,2.1 ± 0.3,1.7 ± 0.3,1.7 ± 0.1,0.6 ± 0.4,0.8 ± 0.4,0.4 ± 0.0,0.6 ± 0.1
CG33198,11 ± 1.5,10 ± 0.7,8.3 ± 0.6,11 ± 2.0,13 ± 0.9,13 ± 1.8,10 ± 1.7,14 ± 5.3,9.9 ± 1.7,13 ± 2.1
CG14376,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG17800,8.5 ± 1.5,9.8 ± 0.7,1.2 ± 0.2,1.3 ± 0.3,3.7 ± 0.5,5.2 ± 1.2,1.7 ± 0.5,2.0 ± 0.7,0.4 ± 0.0,0.6 ± 0.0
CG31832,2.8 ± 0.8,2.9 ± 0.2,21 ± 5.2,51 ± 0.2,0.5 ± 0.2,0.7 ± 0.1,0.1 ± 0.1,0.3 ± 0.1,0.3 ± 0.4,1.4 ± 1.0
CG42762,0.8 ± 0.4,0.9 ± 0.2,0.9 ± 0.7,0.7 ± 0.4,0.7 ± 0.2,0.8 ± 0.2,0.7 ± 0.4,0.9 ± 0.4,1.2 ± 0.4,0.9 ± 0.0
CG16964,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,1.9 ± 1.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.2 ± 1.8,0.0 ± 0.0,0.3 ± 0.0
CG3054,6.0 ± 0.6,6.3 ± 0.3,5.6 ± 0.5,5.1 ± 0.5,6.9 ± 0.1,8.6 ± 1.2,8.9 ± 1.2,9.0 ± 0.5,7.2 ± 0.9,7.3 ± 0.5
CG11604,1.9 ± 0.2,1.7 ± 0.2,6.5 ± 2.5,2.0 ± 0.1,3.0 ± 0.2,1.5 ± 0.2,3.1 ± 0.5,1.8 ± 0.9,5.3 ± 2.9,2.3 ± 0.7
CG9283,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG42382,5.1 ± 0.7,4.3 ± 0.2,2.9 ± 0.8,2.9 ± 0.6,4.8 ± 0.4,4.4 ± 0.2,2.2 ± 0.5,1.9 ± 0.3,2.9 ± 0.8,3.8 ± 0.5
CG6363,5.1 ± 0.4,5.5 ± 0.5,7.2 ± 1.0,6.3 ± 0.7,7.5 ± 0.7,6.9 ± 0.3,5.2 ± 0.4,4.5 ± 1.6,5.9 ± 1.6,6.1 ± 0.3
CG10702,12 ± 0.4,10 ± 1.2,1.7 ± 0.3,1.5 ± 0.3,6.4 ± 0.5,7.9 ± 1.1,0.6 ± 0.2,0.4 ± 0.1,1.6 ± 1.0,1.0 ± 0.0
CG9295,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.4 ± 0.2,0.4 ± 0.1,3.0 ± 0.9,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.1 ± 0.1
CG4719,6.9 ± 0.8,7.6 ± 0.4,3.0 ± 0.4,3.0 ± 0.6,7.3 ± 0.4,9.7 ± 1.7,3.5 ± 0.5,3.3 ± 0.7,4.7 ± 0.6,5.9 ± 0.5
CG10588,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.5,0.0 ± 0.0,0.1 ± 0.0
CG15078,14 ± 2.0,16 ± 0.5,3.9 ± 0.4,5.4 ± 1.2,6.2 ± 0.7,8.0 ± 0.3,0.8 ± 0.4,0.7 ± 0.0,6.0 ± 1.2,7.2 ± 0.4
CG42230,1.3 ± 0.1,0.7 ± 0.1,6.2 ± 1.4,6.4 ± 0.9,3.9 ± 0.0,4.6 ± 0.1,1.5 ± 0.2,1.7 ± 0.4,13 ± 2.5,24 ± 2.8
CG5626,1.5 ± 0.2,1.5 ± 0.1,0.9 ± 0.6,0.7 ± 0.2,0.7 ± 0.1,0.7 ± 0.1,0.5 ± 0.4,0.6 ± 0.1,1.6 ± 0.5,0.8 ± 0.1
CG10624,10 ± 1.4,11 ± 0.2,8.2 ± 0.8,8.3 ± 0.9,11 ± 0.3,13 ± 0.9,3.6 ± 0.1,3.4 ± 0.2,15 ± 1.2,24 ± 1.0
CG6803,18 ± 10,44 ± 67,2871 ± 1084,4373 ± 928,84 ± 0.7,69 ± 36,14 ± 2.8,13 ± 1.2,205 ± 25,902 ± 275
CG14899,11 ± 0.7,11 ± 0.7,20 ± 1.9,22 ± 3.8,16 ± 0.4,18 ± 1.2,13 ± 2.7,14 ± 2.5,28 ± 1.1,31 ± 2.9
CG12299,7.6 ± 0.8,8.2 ± 0.8,1.5 ± 0.6,0.9 ± 0.2,4.3 ± 0.0,4.8 ± 1.0,1.4 ± 0.4,0.9 ± 0.1,2.4 ± 1.7,0.8 ± 0.0
CG31076,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.2,0.6 ± 0.4,2.5 ± 0.1,3.6 ± 0.2,44 ± 2.1,46 ± 9.7,0.9 ± 0.6,2.6 ± 0.2
CG43351,17 ± 10,7.8 ± 7.2,360 ± 101,530 ± 152,337 ± 23,224 ± 120,11 ± 3.1,13 ± 5.6,20 ± 3.5,62 ± 3.5
CG8646,0.6 ± 0.0,0.9 ± 0.1,0.8 ± 0.1,2.8 ± 1.0,2.6 ± 0.3,3.6 ± 0.6,1.5 ± 0.1,1.4 ± 0.2,0.4 ± 0.2,1.1 ± 0.0
CG12586,0.2 ± 0.0,0.4 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG3956,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG2116,5.8 ± 0.2,4.8 ± 0.3,7.0 ± 1.1,5.6 ± 0.3,7.0 ± 0.2,5.9 ± 0.4,8.2 ± 0.7,7.7 ± 1.8,6.9 ± 1.2,7.7 ± 0.1
CG11051,497 ± 388,115 ± 81,9592 ± 4173,8083 ± 1072,8069 ± 910,3622 ± 1466,175 ± 16,87 ± 18,325 ± 90,716 ± 67
CG2206,23 ± 0.8,23 ± 1.1,23 ± 2.4,27 ± 0.9,31 ± 0.5,33 ± 0.8,40 ± 4.8,35 ± 1.7,15 ± 0.6,18 ± 0.2
CG1115,13 ± 0.9,12 ± 1.0,14 ± 2.9,15 ± 1.9,16 ± 0.6,16 ± 0.1,16 ± 3.0,12 ± 4.2,10 ± 0.0,16 ± 1.2
CG4739,0.0 ± 0.0,0.0 ± 0.0,0.9 ± 0.3,0.8 ± 0.4,0.3 ± 0.0,0.3 ± 0.0,7.8 ± 2.3,6.6 ± 4.2,0.4 ± 0.4,0.6 ± 0.0
CG14208,0.1 ± 0.1,0.1 ± 0.0,0.2 ± 0.2,0.4 ± 0.3,0.2 ± 0.0,0.1 ± 0.1,0.7 ± 0.9,0.5 ± 0.4,0.0 ± 0.0,0.0 ± 0.0
CG6050,18 ± 0.6,20 ± 0.6,43 ± 3.1,41 ± 0.2,25 ± 0.4,22 ± 0.7,35 ± 9.6,30 ± 8.4,21 ± 2.9,30 ± 1.3
CG32165,0.4 ± 0.1,0.4 ± 0.0,0.5 ± 0.1,1.3 ± 0.6,0.5 ± 0.1,0.4 ± 0.1,0.4 ± 0.1,1.3 ± 1.2,1.0 ± 0.4,0.9 ± 0.0
CG6933,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.9 ± 0.3,0.4 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG42569,2.5 ± 0.1,2.8 ± 0.2,3.5 ± 0.8,2.3 ± 0.3,2.0 ± 0.0,2.1 ± 0.2,2.0 ± 0.6,2.2 ± 0.6,4.3 ± 2.2,2.5 ± 0.2
CG4938,8.1 ± 0.3,8.0 ± 0.7,6.2 ± 0.6,6.1 ± 1.0,6.4 ± 0.3,6.3 ± 0.8,6.4 ± 0.5,7.5 ± 1.7,3.8 ± 2.0,4.5 ± 0.4
CG17387,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.6 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.4 ± 0.6,0.0 ± 0.0,0.2 ± 0.0
CG4952,7.5 ± 1.2,8.4 ± 0.3,0.3 ± 0.1,0.4 ± 0.1,2.6 ± 0.6,3.6 ± 0.9,0.5 ± 0.1,0.5 ± 0.1,0.1 ± 0.0,0.1 ± 0.1
CG14692,0.1 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.0,0.3 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0
CG13084,0.1 ± 0.1,0.0 ± 0.0,4.9 ± 6.1,0.1 ± 0.1,0.2 ± 0.2,0.1 ± 0.0,3.9 ± 6.6,0.0 ± 0.1,8.9 ± 11,0.0 ± 0.0
CG43065,1.7 ± 0.2,1.7 ± 0.2,9.1 ± 1.3,15 ± 5.9,3.9 ± 0.2,5.1 ± 0.6,45 ± 18,41 ± 16,21 ± 6.9,22 ± 0.6
CG12759,4.9 ± 0.3,5.1 ± 0.4,7.0 ± 0.7,5.2 ± 0.7,6.3 ± 0.4,5.4 ± 0.2,5.7 ± 0.4,4.6 ± 0.8,5.5 ± 0.6,6.1 ± 0.5
CG6170,27 ± 0.6,23 ± 1.4,44 ± 5.2,40 ± 2.9,50 ± 4.4,39 ± 3.2,271 ± 80,221 ± 61,6.6 ± 2.5,12 ± 1.2
CG7893,8.2 ± 1.1,8.2 ± 0.5,4.9 ± 0.3,4.1 ± 0.6,7.7 ± 0.0,10 ± 1.3,4.4 ± 0.4,3.8 ± 0.8,6.6 ± 0.7,6.8 ± 0.1
CG33127,1.2 ± 0.4,1.3 ± 0.3,5.1 ± 3.7,4.7 ± 1.4,0.7 ± 0.2,0.8 ± 0.0,2.2 ± 0.4,5.6 ± 2.7,0.9 ± 0.8,3.8 ± 2.0
CG3874,7.0 ± 0.6,5.9 ± 0.6,16 ± 2.4,12 ± 1.2,13 ± 0.5,9.8 ± 0.7,98 ± 13,80 ± 8.9,14 ± 0.3,27 ± 0.8
CG11396,10 ± 0.6,11 ± 0.6,5.9 ± 0.6,5.8 ± 0.4,9.2 ± 0.8,10 ± 0.7,9.7 ± 0.4,8.5 ± 1.6,10 ± 1.2,10 ± 0.2
CG6015,9.3 ± 0.4,9.8 ± 0.5,7.4 ± 0.5,6.3 ± 0.8,8.7 ± 0.1,9.0 ± 0.4,7.4 ± 1.9,7.2 ± 1.0,7.2 ± 1.8,7.8 ± 0.2
CG15550,0.7 ± 0.5,0.2 ± 0.0,0.7 ± 0.4,0.7 ± 0.5,1.4 ± 0.4,1.0 ± 0.7,0.0 ± 0.0,0.2 ± 0.2,1.4 ± 0.0,1.8 ± 0.5
CG14006,1.4 ± 0.1,2.0 ± 0.2,0.4 ± 0.1,1.0 ± 0.3,0.4 ± 0.1,0.4 ± 0.1,0.4 ± 0.2,0.7 ± 0.6,0.5 ± 0.0,0.6 ± 0.2
CG6907,3.8 ± 0.0,3.6 ± 0.2,10 ± 1.2,8.2 ± 0.8,6.4 ± 0.1,5.4 ± 0.3,9.2 ± 2.2,8.5 ± 2.0,11 ± 2.2,11 ± 1.6
CG33141,7.8 ± 1.1,8.8 ± 0.3,0.8 ± 0.2,0.7 ± 0.3,1.7 ± 0.1,1.8 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.0,0.8 ± 0.1
CG4495,19 ± 2.1,20 ± 1.1,13 ± 1.4,14 ± 0.9,14 ± 0.1,15 ± 0.6,15 ± 3.0,15 ± 1.4,12 ± 1.0,15 ± 0.6
CG12307,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,3.6 ± 3.4,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,2.2 ± 3.4,0.0 ± 0.0,0.6 ± 0.3
CG9628,11 ± 3.9,7.6 ± 0.3,87 ± 16,123 ± 14,92 ± 1.0,97 ± 9.8,3.7 ± 0.2,2.5 ± 1.1,129 ± 35,265 ± 22
CG9649,6.9 ± 1.9,7.5 ± 0.8,45 ± 13,48 ± 4.7,48 ± 2.5,33 ± 7.2,0.6 ± 0.3,0.6 ± 0.2,1.7 ± 1.1,4.8 ± 0.5
CG32319,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.2,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.4 ± 0.5,0.0 ± 0.0,0.2 ± 0.1
CG7518,8.1 ± 0.8,8.6 ± 0.3,4.2 ± 0.2,3.5 ± 0.6,5.7 ± 0.1,5.7 ± 0.8,4.5 ± 0.1,4.5 ± 0.4,4.1 ± 0.8,4.9 ± 0.0
CG34384,25 ± 4.9,26 ± 0.6,0.5 ± 0.3,0.7 ± 0.3,5.9 ± 0.4,8.8 ± 0.7,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.4 ± 0.1
CG5968,0.3 ± 0.0,0.3 ± 0.2,0.0 ± 0.0,4.2 ± 3.0,0.2 ± 0.0,0.5 ± 0.1,0.1 ± 0.2,3.8 ± 5.3,0.0 ± 0.0,1.0 ± 0.3
CG9880,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG9431,13 ± 2.3,14 ± 0.6,0.4 ± 0.1,0.5 ± 0.0,13 ± 2.3,22 ± 7.9,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.2
CG3100,0.9 ± 0.2,0.9 ± 0.1,0.3 ± 0.3,0.2 ± 0.1,4.1 ± 0.3,4.4 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1
CG8138,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.4 ± 1.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.9 ± 1.3,0.0 ± 0.0,0.4 ± 0.2
CG14866,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1
CG13014,2.5 ± 0.3,2.9 ± 0.2,6.7 ± 0.2,6.2 ± 0.6,6.8 ± 0.3,6.0 ± 0.6,5.3 ± 0.8,7.0 ± 2.7,6.5 ± 0.1,7.8 ± 0.6
CG7177,9.9 ± 1.9,11 ± 0.5,8.0 ± 0.6,8.4 ± 1.1,7.5 ± 0.6,9.6 ± 0.9,11 ± 1.5,12 ± 1.0,7.7 ± 1.0,10 ± 0.1
CG8916,8.3 ± 1.0,7.8 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,3.2 ± 0.3,4.4 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG33667,0.3 ± 0.2,0.1 ± 0.1,0.0 ± 0.0,1.2 ± 1.1,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.8 ± 1.2,0.0 ± 0.0,0.4 ± 0.3
CG42841,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.3 ± 1.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.4,0.0 ± 0.0,0.3 ± 0.3
CG18090,188 ± 27,158 ± 10,0.6 ± 0.2,0.8 ± 0.5,49 ± 3.8,89 ± 24,0.4 ± 0.7,0.2 ± 0.3,2.5 ± 1.0,1.8 ± 0.4
CG8098,26 ± 0.6,24 ± 1.8,19 ± 1.1,20 ± 5.8,29 ± 3.2,33 ± 4.1,261 ± 32,215 ± 32,28 ± 5.8,18 ± 1.7
CG32513,20 ± 3.3,21 ± 0.4,5.4 ± 1.0,6.5 ± 1.1,13 ± 1.2,18 ± 2.6,21 ± 1.4,23 ± 1.6,3.8 ± 0.8,4.7 ± 0.2
CG6099,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG1666,20 ± 1.2,19 ± 0.4,33 ± 3.0,26 ± 2.3,43 ± 1.8,36 ± 0.7,32 ± 4.5,26 ± 6.7,25 ± 1.6,33 ± 0.4
CG14104,5.7 ± 0.6,5.2 ± 0.7,7.3 ± 1.6,8.4 ± 0.7,6.5 ± 0.0,5.2 ± 0.8,8.8 ± 3.6,8.2 ± 3.3,4.9 ± 0.7,7.4 ± 0.1
CG5237,25 ± 3.0,28 ± 1.8,0.8 ± 0.6,1.3 ± 0.7,4.9 ± 0.8,5.6 ± 0.7,0.1 ± 0.1,0.1 ± 0.0,0.3 ± 0.0,1.0 ± 0.2
CG32679,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0
CG14007,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG18180,1.9 ± 1.2,3.6 ± 2.0,276 ± 94,267 ± 20,30 ± 34,3.4 ± 0.9,1.3 ± 0.4,34 ± 51,21 ± 3.3,295 ± 313
CG7770,21 ± 1.3,19 ± 0.9,17 ± 1.7,18 ± 2.7,29 ± 0.4,27 ± 1.4,24 ± 8.0,20 ± 4.9,20 ± 4.8,19 ± 0.2
CG9108,17 ± 3.7,20 ± 0.3,0.5 ± 0.3,0.8 ± 0.3,2.0 ± 0.1,2.9 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.2 ± 0.0,1.4 ± 0.1
CG12120,1.3 ± 0.3,0.6 ± 0.3,4.1 ± 0.8,21 ± 2.4,398 ± 36,459 ± 73,81 ± 15,85 ± 21,2.4 ± 0.2,5.8 ± 1.3
CG3324,0.8 ± 0.1,0.6 ± 0.1,1.1 ± 0.3,1.0 ± 0.5,4.4 ± 0.2,4.8 ± 0.8,48 ± 10,46 ± 9.8,0.1 ± 0.1,0.5 ± 0.2
CG32783,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.1,0.2 ± 0.2,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG7955,10 ± 0.1,11 ± 0.6,15 ± 2.6,13 ± 1.2,14 ± 0.3,14 ± 0.2,21 ± 4.4,19 ± 4.2,12 ± 0.0,16 ± 0.7
CG6834,6.7 ± 0.4,6.3 ± 0.5,18 ± 6.6,18 ± 1.2,18 ± 0.1,16 ± 2.7,18 ± 0.3,21 ± 3.4,0.8 ± 0.0,3.0 ± 0.4
CG15735,20 ± 0.6,19 ± 1.1,18 ± 1.9,16 ± 1.3,24 ± 1.2,22 ± 0.2,19 ± 0.9,16 ± 4.6,21 ± 2.9,20 ± 0.4
CG43691,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
CG7164,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.9 ± 1.4,0.0 ± 0.0,0.0 ± 0.0,4.0 ± 3.2,2.8 ± 3.6,0.0 ± 0.0,0.5 ± 0.4
CG16991,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.3,0.0 ± 0.0,0.1 ± 0.2
CG7234,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG7182,4.0 ± 0.2,3.8 ± 0.3,12 ± 2.3,6.4 ± 0.7,9.0 ± 1.0,6.2 ± 0.3,9.9 ± 2.3,6.9 ± 1.3,12 ± 3.8,7.3 ± 0.8
CG14238,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG15876,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.6 ± 0.4,0.4 ± 0.2,1.2 ± 0.6,0.0 ± 0.0,0.6 ± 1.0,0.1 ± 0.1,0.3 ± 0.3
CG4584,4.1 ± 0.6,4.2 ± 0.2,13 ± 6.1,2.8 ± 0.3,3.9 ± 0.3,2.6 ± 0.0,5.8 ± 1.6,3.0 ± 1.0,20 ± 16,2.8 ± 0.6
CG6928,4.6 ± 0.5,4.4 ± 0.4,4.7 ± 0.6,2.9 ± 0.2,5.4 ± 0.0,4.6 ± 0.6,1.4 ± 0.7,1.3 ± 0.1,8.8 ± 0.4,12 ± 0.3
CG43138,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.7 ± 0.7,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.5,0.7 ± 0.9,0.0 ± 0.0,0.3 ± 0.1
CG8326,2.3 ± 0.1,2.4 ± 0.2,3.5 ± 0.3,2.1 ± 0.2,2.6 ± 0.6,2.3 ± 0.1,3.5 ± 0.8,2.3 ± 0.3,3.1 ± 1.2,2.6 ± 0.1
CG14048,13 ± 0.7,15 ± 0.9,11 ± 0.6,14 ± 1.4,11 ± 0.7,14 ± 0.5,12 ± 4.5,11 ± 1.2,7.6 ± 2.6,9.4 ± 0.2
CG10858,0.7 ± 0.4,0.9 ± 0.0,0.1 ± 0.1,0.3 ± 0.1,0.5 ± 0.0,1.0 ± 0.1,0.9 ± 0.9,0.8 ± 0.8,0.8 ± 0.1,0.6 ± 0.0
CG14894,9.2 ± 0.2,9.0 ± 0.9,11 ± 1.8,12 ± 0.7,10 ± 0.9,9.0 ± 0.9,11 ± 0.7,9.6 ± 1.6,8.4 ± 2.8,8.0 ± 0.3
